Date,Site,VidFile,Camera,VidRecord,Timestamp,Species,Count
18/11/2019,Southeast,GP019004,GP-8,CC,5:07,Scarus rubroviolaceus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:15,Scarus globiceps,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:08,Acanthurus nigrofuscus,5
18/11/2019,Southeast,GP019004,GP-8,CC,5:13,Coris gaimard,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:18,Thalassoma hardwicke,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:20,Scarus rubroviolaceus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:45,Siganus argentus,11
18/11/2019,Southeast,GP019004,GP-8,CC,5:45,Naso annulatus,20
18/11/2019,Southeast,GP019004,GP-8,CC,5:48,Acanthurus nigrofuscus,6
18/11/2019,Southeast,GP019004,GP-8,CC,5:48,Ctenochaetus striatus,15
18/11/2019,Southeast,GP019004,GP-8,CC,5:48,Scarus psittacus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:49,Scarus niger,3
18/11/2019,Southeast,GP019004,GP-8,CC,5:50,Scarus niger,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:51,Acanthurus grammoptilus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:57,Acanthurus grammoptilus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:58,Scarus sp,2
18/11/2019,Southeast,GP019004,GP-8,CC,6:00,Ctenochaetus striatus,2
18/11/2019,Southeast,GP029004,GP-8,CC,0:35,Labrichthys unilineatus,1
18/11/2019,Southeast,GP029004,GP-8,CC,0:40,Naso annulatus,1
18/11/2019,Southeast,GP029004,GP-8,CC,0:44,Acanthurus nigrofuscus,5
18/11/2019,Southeast,GP029004,GP-8,CC,0:52,Acanthurus nigrofuscus,2
18/11/2019,Southeast,GP029004,GP-8,CC,2:45,Thalassoma nigrofasciatum,1
18/11/2019,Southeast,GP029004,GP-8,CC,3:23,Labroides dimidiatus,1
18/11/2019,Southeast,GP029004,GP-8,CC,5:20,Labridae,1
18/11/2019,Southeast,GP029004,GP-8,CC,6:05,Pomacentrus chrysurus,2
18/11/2019,Southeast,GP029004,GP-8,CC,6:10,Cirripectes sp,1
18/11/2019,Southeast,GP029004,GP-8,CC,6:15,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP029004,GP-8,CC,6:23,Thalassoma nigrofasciatum,1
18/11/2019,Southeast,GP029004,GP-8,CC,6:53,Scarus psittacus,1
18/11/2019,Southeast,GP029004,GP-8,CC,7:20,Lethrinus nebulosus,1
18/11/2019,Southeast,GP029004,GP-8,CC,7:30,Scarus frenatus,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:06,Thalassoma hardwicke,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:11,Thalassoma nigrofasciatum,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:07,Thalassoma hardwicke,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:14,Thalassoma hardwicke,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:57,Scolopsis bilineata,1
18/11/2019,Southeast,GP029004,GP-8,CC,8:58,Halichoeres marginatus,2
